HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
REBOUND (DEF) by (TEAM)	04:27			MISSED JUMPER by Johnson,Jahvon
GOOD! FT SHOT by EVERMAN, Scott	04:02	25-13	H 12	FOUL by Bejsovec,Matt (P1T8)
GOOD! FT SHOT by EVERMAN, Scott	04:02	26-13	H 13	
FOUL by BROOKS, Joshua (P1T9)	03:41			
	03:41			TIMEOUT MEDIA
	03:41	26-14	H 12	GOOD! FT SHOT by Johnson,Jahvon
	03:41			MISSED FT SHOT by Johnson,Jahvon
	03:41			REBOUND (OFF) by Ducree,Julian
SUB IN : LIPOVIC, Aleks	03:41			SUB IN : Ducree,Julian
SUB OUT: BALLESTERO, Anthony	03:41			SUB OUT: Polosky,Gregg
	03:37	26-16	H 10	GOOD! LAYUP by Ducree,Julian [PNT]
FOUL by SHOEMAKER, Michael (P2T10)	03:37			MISSED FT SHOT by Ducree,Julian
REBOUND (DEF) by HANSEN, Chris	03:37			
SUB IN : HANSEN, Chris	03:37			
SUB IN : OSHITA, Christian	03:37			
SUB OUT: EVERMAN, Scott	03:37			
SUB OUT: SHOEMAKER, Michael	03:37			
MISSED 3 PTR by BUAKU, George	03:10			REBOUND (DEF) by Johnson,Jahvon
	02:36			TURNOVR by (TEAM)
	02:20			FOUL by Bejsovec,Matt (P2T9)
	02:20			TIMEOUT TEAM
GOOD! FT SHOT by OSHITA, Christian	02:20	27-16	H 11	
MISSED FT SHOT by OSHITA, Christian	02:20			REBOUND (DEF) by Ducree,Julian
	02:20			SUB IN : Warren,Kevin
	02:20			SUB OUT: Johnson,Jahvon
REBOUND (DEF) by BUAKU, George	01:57			MISSED 3 PTR by Warren,Kevin
MISSED JUMPER by BUAKU, George	01:23			
REBOUND (OFF) by HANSEN, Chris	01:23			
TIMEOUT TEAM	01:21			
GOOD! 3 PTR by LIPOVIC, Aleks	01:08	30-16	H 14	
ASSIST by BROOKS, Joshua	01:08			
FOUL by LIPOVIC, Aleks (P2T11)	00:49	30-17	H 13	GOOD! FT SHOT by Covarrubias,Joe
	00:49	30-18	H 12	GOOD! FT SHOT by Covarrubias,Joe
GOOD! 3 PTR by HANSEN, Chris	00:25	33-18	H 15	
ASSIST by BUAKU, George	00:25			
FOUL by BROOKS, Joshua (P2T12)	00:09	33-19	H 14	GOOD! FT SHOT by Warren,Kevin
REBOUND (DEF) by LIPOVIC, Aleks	00:09			MISSED FT SHOT by Warren,Kevin
MISSED 3 PTR by LIPOVIC, Aleks	00:03			REBOUND (DEF) by Warren,Kevin
FOUL TECHNCL by the bench	20:00	33-20	H 13	GOOD! FT SHOT by Covarrubias,Joe
	19:39	33-22	H 11	GOOD! LAYUP by Ducree,Julian [PNT]
MISSED 3 PTR by HANSEN, Chris	19:23			
REBOUND (OFF) by KLIE, Adam	19:23			
MISSED LAYUP by KLIE, Adam	19:09			
REBOUND (OFF) by OSHITA, Christian	19:09			
MISSED JUMPER by OSHITA, Christian	19:05			BLOCK by Ducree,Julian
REBOUND (OFF) by (TEAM)	19:03			
GOOD! 3 PTR by LIPOVIC, Aleks	18:59	36-22	H 14	
ASSIST by KLIE, Adam	18:59			
	18:39	36-25	H 11	GOOD! 3 PTR by Covarrubias,Joe
	18:39			ASSIST by Ducree,Julian
MISSED 3 PTR by BUAKU, George	18:16			
REBOUND (OFF) by HANSEN, Chris	18:16			
GOOD! FT SHOT by HANSEN, Chris	18:13	37-25	H 12	FOUL by Ducree,Julian (P2T1)
GOOD! FT SHOT by HANSEN, Chris	18:13	38-25	H 13	
	18:13			SUB IN : Bejsovec,Matt
	18:13			SUB OUT: Polosky,Gregg
REBOUND (DEF) by KLIE, Adam	17:59			MISSED JUMPER by Ducree,Julian
TURNOVR by KLIE, Adam	17:51			
REBOUND (DEF) by HANSEN, Chris	17:33			MISSED LAYUP by Ducree,Julian
MISSED JUMPER by HANSEN, Chris	17:06			REBOUND (DEF) by Warren,Kevin
	16:48			TURNOVR by Covarrubias,Joe
STEAL by KLIE, Adam	16:44			
	16:40			FOUL by Ducree,Julian (P3T2)
SUB IN : BALLESTERO, Anthony	16:40			SUB IN : Johnson,Jahvon
SUB OUT: LIPOVIC, Aleks	16:40			SUB IN : Polosky,Gregg
	16:40			SUB OUT: Ducree,Julian
	16:40			SUB OUT: Covarrubias,Joe
	16:27			FOUL by Bouyea,Jonquis (P2T3)
TURNOVR by OSHITA, Christian	16:07			
	15:52	38-27	H 11	GOOD! LAYUP by Johnson,Jahvon [PNT]
MISSED 3 PTR by OSHITA, Christian	15:38			REBOUND (DEF) by Warren,Kevin
	15:19			TURNOVR by Bouyea,Jonquis
TIMEOUT MEDIA	15:19			
GOOD! LAYUP by HANSEN, Chris [PNT]	15:05	40-27	H 13	
REBOUND (DEF) by HANSEN, Chris	14:45			MISSED 3 PTR by Warren,Kevin
TURNOVR by KLIE, Adam	14:18			STEAL by Johnson,Jahvon
REBOUND (DEF) by OSHITA, Christian	14:01			MISSED JUMPER by Johnson,Jahvon
GOOD! 3 PTR by BALLESTERO, Anthony	13:36	43-27	H 16	
ASSIST by BUAKU, George	13:36			
REBOUND (DEF) by KLIE, Adam	13:19			MISSED JUMPER by Warren,Kevin
	13:15			FOUL by Warren,Kevin (P3T4)
SUB IN : EVERMAN, Scott	13:15			SUB IN : Covarrubias,Joe
SUB IN : BROOKS, Joshua	13:15			SUB OUT: Johnson,Jahvon
SUB OUT: BUAKU, George	13:15			
SUB OUT: OSHITA, Christian	13:15			
GOOD! 3 PTR by HANSEN, Chris	13:05	46-27	H 19	
ASSIST by KLIE, Adam	13:05			
REBOUND (DEF) by BALLESTERO, Anthony	12:43			MISSED LAYUP by Polosky,Gregg
GOOD! LAYUP by HANSEN, Chris [FB/PNT]	12:36	48-27	H 21	
ASSIST by BALLESTERO, Anthony	12:36			
	12:22	48-29	H 19	GOOD! LAYUP by Polosky,Gregg [PNT]
MISSED LAYUP by HANSEN, Chris	12:01			BLOCK by Bejsovec,Matt
REBOUND (OFF) by (TEAM)	11:59			
	11:59			SUB IN : Ducree,Julian
	11:59			SUB OUT: Polosky,Gregg
GOOD! 3 PTR by HANSEN, Chris	11:51	51-29	H 22	
ASSIST by KLIE, Adam	11:51			
REBOUND (DEF) by HANSEN, Chris	11:38			MISSED LAYUP by Bouyea,Jonquis
GOOD! LAYUP by KLIE, Adam [FB/PNT]	11:28	53-29	H 24	
