HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
TIMEOUT MEDIA	04:31			
SUB IN : HUGHES, Marcella	04:31			SUB IN : Sperling,Alexa
SUB IN : ANDERSON, Haley	04:31			SUB IN : Golfo,Christine
SUB IN : ARMAO, Shandiin	04:31			SUB IN : Evans,Jessie
SUB OUT: SONG, Paige	04:31			SUB OUT: Smith,Aubri
SUB OUT: MOUNIER, Beth	04:31			SUB OUT: Hill,McKenna
SUB OUT: MACLEOD, Cassie	04:31			SUB OUT: Thompson,Vai
GOOD! 3 PTR by HUGHES, Marcella	04:18	66-49	H 17	
ASSIST by ANDERSON, Haley	04:18			
REBOUND (DEF) by ARMAO, Shandiin	04:01			MISSED 3 PTR by Dorn,Victoria
TURNOVR by YANG, Joleen	03:42			STEAL by Keaton,Courtney
FOUL by WILLIAMS, Mikayla (P3T9)	03:32			
FOUL by ARMAO, Shandiin (P1T10)	03:10			MISSED FT SHOT by Golfo,Christine
	03:10			REBOUND (OFF) by (DEADBALL)
REBOUND (DEF) by ARMAO, Shandiin	03:10			MISSED FT SHOT by Golfo,Christine
GOOD! LAYUP by ARMAO, Shandiin [PNT]	02:53	68-49	H 19	
ASSIST by HUGHES, Marcella	02:53			
	02:44			MISSED 3 PTR by Dorn,Victoria
	02:44			REBOUND (OFF) by Keaton,Courtney
REBOUND (DEF) by WILLIAMS, Mikayla	02:39			MISSED 3 PTR by Evans,Jessie
GOOD! LAYUP by ARMAO, Shandiin [PNT]	02:17	70-49	H 21	
ASSIST by YANG, Joleen	02:17			
GOOD! FT SHOT by ARMAO, Shandiin	02:17	71-49	H 22	FOUL by Keaton,Courtney (P2T10)
SUB IN : SHARP, Sydney	02:17			SUB IN : Saelio,Jennifer
SUB IN : MOORE, Stephanie	02:17			SUB IN : Price,Jordana
SUB IN : WILLIAMS, Rebecca	02:17			SUB OUT: Dorn,Victoria
SUB OUT: WILLIAMS, Mikayla	02:17			SUB OUT: Evans,Jessie
SUB OUT: ANDERSON, Haley	02:17			
SUB OUT: YANG, Joleen	02:17			
	01:56	71-51	H 20	GOOD! LAYUP by Keaton,Courtney [PNT]
	01:56			ASSIST by Golfo,Christine
TURNOVR by HUGHES, Marcella	01:45			
	01:44			STEAL by Keaton,Courtney
	01:27			MISSED LAYUP by Sperling,Alexa
	01:27			REBOUND (OFF) by Keaton,Courtney
	01:23			TURNOVR by Keaton,Courtney
STEAL by ARMAO, Shandiin	01:22			
GOOD! FT SHOT by MOORE, Stephanie	01:12	72-51	H 21	FOUL by Keaton,Courtney (P3T11)
GOOD! FT SHOT by MOORE, Stephanie	01:12	73-51	H 22	
SUB IN : VRCELJ, Kristen	01:12			SUB IN : Thompson,Vai
SUB OUT: HUGHES, Marcella	01:12			SUB OUT: Keaton,Courtney
REBOUND (DEF) by MOORE, Stephanie	01:02			MISSED 3 PTR by Saelio,Jennifer
GOOD! LAYUP by SHARP, Sydney [FB/PNT]	00:57	75-51	H 24	
ASSIST by MOORE, Stephanie	00:57			
FOUL by VRCELJ, Kristen (P1T11)	00:41			
	00:37			MISSED 3 PTR by Golfo,Christine
	00:37			REBOUND (OFF) by Thompson,Vai
	00:30	75-53	H 22	GOOD! LAYUP by Golfo,Christine [PNT]
